group_id,station_ids,lines,center_x,center_y,cluster_diameter_pt,note
T001,01-01|01-06|03-01,1|3,206.3,420.2,9.3,
T002,01-04|01-08|04-13|04-14,1|4,179.2,448.6,21.8,
T003,01-05|12-08,1|12,225.7,401.2,0.0,
T004,01-07|02-15|08-30,1|2|8,355.1,291.5,0.0,
T005,01-09|10-04|12-14,1|10|12,308.9,320.9,0.0,
T006,01-11|03-05|18-06,1|18|3,235.8,369.4,0.0,
T007,01-13|09-17|11-25,1|11|9,254.5,349.3,0.0,
T008,01-14|07-20,1|7,283.7,319.6,0.0,
T009,01-15|12-15|13-01,1|12|13,330.7,262.2,0.0,
T010,01-16|01-17|03-14|03-15|18-15|18-16,1|18|3,331.1,239.2,5.3,
T011,02-01|02-04|10-01|17-01,10|17|2,101.2,303.0,11.2,
T012,02-02|02-03|10-02|10-03,10|2,122.3,303.6,4.5,
T013,02-09|03-09|18-02,18|2|3,232.6,291.5,0.0,
T014,02-10|11-23,11|2,254.5,291.5,0.0,
T015,02-11|07-18|07-19,2|7,284.4,287.8,11.3,
T016,02-12|02-13|02-14|12-21|12-22|13-06|13-07,12|13|2,325.4,291.4,10.4,
T017,02-16|10-09,10|2,382.2,291.5,0.0,
T018,02-17|06-12|09-23|18-11,18|2|6|9,435.4,325.4,0.0,
T019,02-18|07-34|14-01|16-01,14|16|2|7,470.3,363.2,0.0,
T020,03-02|11-26|11-27|12-09|12-10,11|12|3,250.5,399.6,15.9,
T021,03-06|09-16|18-05,18|3|9,233.2,349.3,0.0,
T022,03-07|10-13|18-04,10|18|3,233.2,329.5,0.0,
T023,03-08|18-03,18|3,233.2,308.9,0.0,
T024,03-10|13-05|18-01,13|18|3,232.6,261.5,0.0,
T025,03-11|11-21|18-19,11|18|3,254.6,236.6,0.0,
T026,03-12|07-15|07-16|18-18,18|3|7,283.4,233.9,11.0,
T027,03-13|18-17,18|3,305.0,236.6,0.0,
T028,03-16|08-31|18-14,18|3|8,362.7,236.6,0.0,
T029,03-17|03-31|08-16|08-29,3|8,369.9,213.6,10.9,
T030,05-06|06-27|10-05,10|5|6,516.4,121.3,0.0,
T031,06-08|08-07|11-37,11|6|8,335.8,449.1,0.0,
T032,06-09|07-29,6|7,396.8,409.5,0.0,
T033,06-10|13-24|13-25,13|6,400.4,425.3,10.8,
T034,06-11|18-10,18|6,415.3,376.0,0.0,
T035,06-28|12-16|12-27,12|6,499.0,227.1,10.2,
T036,07-17|13-03,13|7,283.7,261.5,0.0,
T037,07-21|09-18,7|9,283.8,349.3,0.0,
T038,07-22|18-07,18|7,283.8,376.0,0.0,
T039,07-23|12-11,12|7,283.8,401.2,0.0,
T040,07-25|07-26|13-21|13-22,13|7,341.3,412.0,4.9,
T041,07-27|08-10,7|8,365.6,409.5,0.0,
T042,08-08|15-01,15|8,324.6,540.9,0.0,
T043,08-09|13-23,13|8,365.6,425.9,0.0,
T044,08-12|18-09,18|8,365.6,376.0,0.0,
T045,08-13|09-21,8|9,365.6,349.3,0.0,
T046,08-14|10-12,10|8,365.6,331.8,0.0,
T047,08-27|12-20,12|8,356.0,261.5,0.0,
T048,08-28|10-06,10|8,406.4,209.2,0.0,
T049,09-19|12-13,12|9,308.8,349.3,0.0,
T050,09-20|13-18,13|9,341.0,349.3,0.0,
T051,09-22|12-17,12|9,537.8,267.1,0.0,
T052,10-07|18-13,10|18,382.1,237.9,0.0,
T053,10-08|12-19,10|12,382.2,267.4,0.0,
T054,10-10|11-24,10|11,254.5,329.5,0.0,
T055,10-11|13-04,10|13,330.6,331.8,0.0,
T056,11-22|13-02,11|13,254.5,261.5,0.0,
T057,11-38|14-03,11|14,482.5,467.7,0.0,
T058,12-12|18-08,12|18,308.8,376.0,0.0,
T059,12-18|12-31|18-12,12|18,426.0,235.9,6.8,
T060,13-28|13-31|14-02,13|14,486.1,436.6,11.4,
